mbs,tp,dp,pp,node placement,partition,estimated time (step/s),pipeline time,DP all-reduce time,embedding layer all-reduce time,price_per_step
2,1,2,16.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[5, 4, 4, 4, 4, 4, 3, 2, 2, 3, 2, 3, 2, 3, 2, 3]",1.0195120573043823,0.9538272910338863,0.0013558294158428907,0.06432896107435226,0.020525213214562996
2,1,2,16.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[5, 4, 4, 4, 4, 4, 4, 3, 2, 3, 1, 2, 2, 3, 2, 3]",1.0215040445327759,0.9558192914898817,0.0013558294158428907,0.06432896107435226,0.020565316676106716
2,1,2,16.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[5, 4, 4, 4, 4, 4, 4, 3, 1, 2, 2, 3, 2, 3, 2, 3]",1.0219839811325073,0.9562992407206756,0.0013558294158428907,0.06432896107435226,0.02057497894637452
2,1,2,16.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge']","[5, 4, 4, 4, 4, 4, 4, 3, 2, 3, 2, 3, 1, 2, 2, 3]",1.0242520570755005,0.9585672919254128,0.0013558294158428907,0.06432896107435226,0.02062064073328839
2,1,2,16.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge']","[5, 4, 4, 4, 4, 4, 4, 3, 2, 3, 2, 3, 2, 3, 1, 2]",1.0242940187454224,0.9586092917795602,0.0013558294158428907,0.06432896107435226,0.020621485521945686
2,1,2,16.0,"['p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[4, 3, 2, 2, 3, 4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3]",1.0653059482574463,0.9998262139737084,0.0011508907191455364,0.06432896107435226,0.02144715363596545
2,1,2,16.0,"['p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[4, 3, 3, 4, 2, 2, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3]",1.0664819478988647,1.0010022136151269,0.0011508907191455364,0.06432896107435226,0.02147082931807968
2,1,2,16.0,"['g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3]",1.089448094367981,1.0071010590181688,0.01801813393831253,0.06432896107435226,0.013731887980567084
2,1,1,32.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge']","[2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2]",1.1180745363235474,1.085910042759586,0.0,0.03216448053717613,0.022509511372029778
2,1,1,32.0,"['p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[2, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 3, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 1, 2]",1.131514549255371,1.0993500435842158,0.0,0.03216448053717613,0.02278009093904495
